name_supermarkt,address,lat,long,key_words,codes,postal_code,url2,urls,place,popularity_percent_normal
Coop,"Hofwiesenstrasse 370, Zrich",47.4111989,8.544497,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ1WK49PgLkEcRRjRLrDyP_qs,8050,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-hofwiesenstrasse/1417_POS,https://maps.google.com/?cid=12393500715321603142,_cid=12393500715321603142,40.8421052631579
Lidl Schweiz,"Hofwiesenstrasse 350, Zrich",47.4104947,8.5427327,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",ChIJHa8zrMILkEcRN-g-c59BoPs,8050,https://www.lidl.ch/,https://maps.google.com/?cid=18131564252882724919,_cid=18131564252882724919,59.61538461538461
Lidl Schweiz,"Ohmstrasse 11, Zrich",47.4104512,8.5457171,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",ChIJU0W-noYKkEcRXJuSYfWbBR8,8050,https://www.lidl.ch/,https://maps.google.com/?cid=2235364268265610076,_cid=2235364268265610076,71.53125
Coop Supermarkt Zrich Dorflinde,"Schwamendingenstrasse 39, Zrich",47.4076154,8.549924299999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJk3synY8KkEcRPiSd8bYbHLo,8050,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-dorflinde/1228_POS,https://maps.google.com/?cid=13410624262954099774,_cid=13410624262954099774,54.53846153846154
Optimal Express,"Franklinstrasse 8, Zrich",47.4090011,8.5458075,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ432EoioLkEcRZx3ni1OKaWQ,8050,,https://maps.google.com/?cid=7235466367781510503,,
Halk Pazari Oerlikon,"Tramstrasse 10, Zrich",47.4089408,8.5474527,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJmcMfMYEKkEcRKAxoZwjrx3I,8050,http://www.halkpazari.ch/,https://maps.google.com/?cid=8270837662016343080,_cid=8270837662016343080,60.71428571428572
Alnatura Bio Super Markt,"Baumackerstrasse 35, Zrich",47.4090151,8.5432963,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ4WVSVoYKkEcRxm3CmZcMhWo,8050,https://alnatura.migros.ch/de/filialfinder#alnatura-bio-super-markt-alnatura-bio-super-markt-oerlikon,https://maps.google.com/?cid=7675554985182129606,_cid=7675554985182129606,55.5
Weinguru GmbH,"Berninastrasse 52, Zrich",47.4038849,8.546928,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJfUlmaH4KkEcRc7Hv-Cs8jvM,8057,http://www.biltong-house.ch/,https://maps.google.com/?cid=17550030957467119987,,
Coop City Zrich Oerlikon Food,"Wallisellenstrasse 1, Zrich",47.41037910000001,8.5466882,"['department_store', 'point_of_interest', 'store', 'establishment']",ChIJB1QWpoYKkEcRgWviq2UyNOk,8050,https://www.coop.ch/de/services/standorte-und-oeffnungszeiten/detail.html/2617/,https://maps.google.com/?cid=16804111521882991489,_cid=16804111521882991489,59.17142857142857
Coop Supermarkt Zrich Precisa,"Wallisellenstrasse 333, Zrich",47.4113768,8.562585,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ91SLpnugmkcRpZoFHIFAWyY,8050,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-precisa/1909_POS,https://maps.google.com/?cid=2763873719587019429,_cid=2763873719587019429,56.75342465753425
